,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
112,Fortuna,20,ES,1566742817,65,38.18,-1.13,4306.762227200002,5.1
113,Puerto Escondido,5,MX,1566743163,65,15.86,-97.07,4000.6522112000016,4.1
114,Muriwai Beach,100,NZ,1566743249,82,-36.82,174.45,3224.9694306559995,6.7
115,Pevek,100,RU,1566743249,64,69.7,170.27,2920.08385472,3.43
116,Shingu,74,JP,1566743249,93,33.72,135.99,3495.5706848000004,1.75
117,Souillac,0,FR,1566742824,51,45.6,-0.6,4279.824545792,2.1
118,Amalapuram,75,IN,1566743250,79,16.58,82.0,4184.3182208,4.1
119,Longyearbyen,75,NO,1566742831,70,78.22,15.63,2776.2121472000003,0.73
120,Berlevag,75,NO,1566742908,58,70.86,29.09,3143.5441664000004,5.1
121,Atasu,4,KZ,1566743205,28,48.68,71.64,3832.2917024000003,3.22
122,Qeshm,40,IR,1566743250,63,26.96,56.27,4612.872243200001,4.1
123,Alyangula,0,AU,1566743250,93,-13.85,136.42,3572.0981888000015,4.58
124,Pakokku,71,MM,1566743251,76,21.33,95.09,4144.52391872,2.34
125,Cardston,90,CA,1566743251,87,49.2,-113.32,3021.10016,0.74
126,Saint George,20,GR,1566742838,28,39.45,22.34,4490.428236800001,5.7
127,Lumberton,40,US,1566743251,83,30.27,-94.2,4123.0962176,0.83
128,Touros,40,BR,1566742921,62,-5.2,-35.46,4184.3182208,7.7
129,Juruti,7,BR,1566743252,34,-2.16,-56.09,4603.68894272,2.93
130,Barrow,100,AR,1566742815,76,-38.31,-60.23,3311.9046752000004,4.76
131,Taoudenni,65,ML,1566742870,16,22.68,-3.98,4983.2653625600005,5.6
132,Kodiak,90,US,1566742826,93,39.95,-94.76,3572.0981888000015,4.6
133,Ippy,100,CF,1566743252,98,6.26,21.2,3648.625692800001,1.41
134,Cape Town,90,ZA,1566742749,93,-33.93,18.42,3497.407344896,7.2
135,Bud,75,NO,1566743252,72,62.91,6.91,3633.3201920000006,5.1
136,Esperance,0,AU,1566742822,81,-33.86,121.89,2898.6561536000004,3.6
137,Thompson,75,CA,1566743100,93,55.74,-97.86,3327.210176,2.1
